Time frequency,Stock or flow,External trade indicator,Geopolitical entity (partner),"Standard International Trade Classification (SITC Rev. 4, 2006)",Geopolitical entity (reporting),Time,value
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),"Food, drinks and tobacco",European Union - 27 countries (from 2020),2024-11,38768.9
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),"Food, drinks and tobacco",European Union - 27 countries (from 2020),2024-12,37528.5
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),"Food, drinks and tobacco",European Union - 27 countries (from 2020),2025-01,38207.1
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),"Food, drinks and tobacco",European Union - 27 countries (from 2020),2025-02,38133.7
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),"Food, drinks and tobacco",European Union - 27 countries (from 2020),2025-03,41125.6
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),"Food, drinks and tobacco",European Union - 27 countries (from 2020),2025-04,40985.2
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),"Food, drinks and tobacco",European Union - 27 countries (from 2020),2025-05,41169.5
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),"Food, drinks and tobacco",European Union - 27 countries (from 2020),2025-06,40362.3
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),"Food, drinks and tobacco",European Union - 27 countries (from 2020),2025-07,41885.6
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),"Food, drinks and tobacco",European Union - 27 countries (from 2020),2025-08,37583.7
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),"Food, drinks and tobacco",European Union - 27 countries (from 2020),2025-09,41788.1
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),"Food, drinks and tobacco",European Union - 27 countries (from 2020),2025-10,43278.3
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),"Food, drinks and tobacco",European Union - 27 countries (from 2020),2025-11,40055.0
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),"Food, drinks and tobacco",European Union - 27 countries (from 2020),2025-12,40263.0
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),"Food, drinks and tobacco",European Union - 27 countries (from 2020),2026-01,36589.6
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),"Food, drinks and tobacco",European Union - 27 countries (from 2020),2026-02,38541.6
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),"Food, drinks and tobacco",European Union - 27 countries (from 2020),2026-03,43081.8
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),"Food, drinks and tobacco",European Union - 27 countries (from 2020),2026-04,40043.7
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),"Food, drinks and tobacco",European Union - 27 countries (from 2020),2026-05,38808.5
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Food and live animals,European Union - 27 countries (from 2020),2023-01,29967.4
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Food and live animals,European Union - 27 countries (from 2020),2023-02,30449.6
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Food and live animals,European Union - 27 countries (from 2020),2023-03,35286.7
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Food and live animals,European Union - 27 countries (from 2020),2023-04,29666.8
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Food and live animals,European Union - 27 countries (from 2020),2023-05,32917.5
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Food and live animals,European Union - 27 countries (from 2020),2023-06,32926.4
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Food and live animals,European Union - 27 countries (from 2020),2023-07,29855.5
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Food and live animals,European Union - 27 countries (from 2020),2023-08,30834.6
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Food and live animals,European Union - 27 countries (from 2020),2023-09,30840.3
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Food and live animals,European Union - 27 countries (from 2020),2023-10,32699.2
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Food and live animals,European Union - 27 countries (from 2020),2023-11,33298.6
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Food and live animals,European Union - 27 countries (from 2020),2023-12,31372.9
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Food and live animals,European Union - 27 countries (from 2020),2024-01,31281.2
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Food and live animals,European Union - 27 countries (from 2020),2024-02,32118.4
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Food and live animals,European Union - 27 countries (from 2020),2024-03,32860.7
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Food and live animals,European Union - 27 countries (from 2020),2024-04,33365.6
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Food and live animals,European Union - 27 countries (from 2020),2024-05,33133.7
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Food and live animals,European Union - 27 countries (from 2020),2024-06,31725.0
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Food and live animals,European Union - 27 countries (from 2020),2024-07,33626.8
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Food and live animals,European Union - 27 countries (from 2020),2024-08,31398.3
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Food and live animals,European Union - 27 countries (from 2020),2024-09,33275.1
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Food and live animals,European Union - 27 countries (from 2020),2024-10,36462.1
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Food and live animals,European Union - 27 countries (from 2020),2024-11,34453.4
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Food and live animals,European Union - 27 countries (from 2020),2024-12,33632.1
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Food and live animals,European Union - 27 countries (from 2020),2025-01,34548.1
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Food and live animals,European Union - 27 countries (from 2020),2025-02,34316.0
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Food and live animals,European Union - 27 countries (from 2020),2025-03,36913.3
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Food and live animals,European Union - 27 countries (from 2020),2025-04,36569.4
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Food and live animals,European Union - 27 countries (from 2020),2025-05,36492.3
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Food and live animals,European Union - 27 countries (from 2020),2025-06,35638.7
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Food and live animals,European Union - 27 countries (from 2020),2025-07,36822.2
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Food and live animals,European Union - 27 countries (from 2020),2025-08,33541.6
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Food and live animals,European Union - 27 countries (from 2020),2025-09,37078.0
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Food and live animals,European Union - 27 countries (from 2020),2025-10,38564.7
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Food and live animals,European Union - 27 countries (from 2020),2025-11,35588.5
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Food and live animals,European Union - 27 countries (from 2020),2025-12,36168.7
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Food and live animals,European Union - 27 countries (from 2020),2026-01,33422.5
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Food and live animals,European Union - 27 countries (from 2020),2026-02,34677.9
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Food and live animals,European Union - 27 countries (from 2020),2026-03,38489.2
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Food and live animals,European Union - 27 countries (from 2020),2026-04,35533.7
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Food and live animals,European Union - 27 countries (from 2020),2026-05,34322.0
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Beverages and tobacco,European Union - 27 countries (from 2020),2023-01,3399.9
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Beverages and tobacco,European Union - 27 countries (from 2020),2023-02,3561.6
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Beverages and tobacco,European Union - 27 countries (from 2020),2023-03,4316.0
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Beverages and tobacco,European Union - 27 countries (from 2020),2023-04,3881.2
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Beverages and tobacco,European Union - 27 countries (from 2020),2023-05,4483.4
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Beverages and tobacco,European Union - 27 countries (from 2020),2023-06,4807.6
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Beverages and tobacco,European Union - 27 countries (from 2020),2023-07,4530.5
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Beverages and tobacco,European Union - 27 countries (from 2020),2023-08,4186.1
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Beverages and tobacco,European Union - 27 countries (from 2020),2023-09,4008.2
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Beverages and tobacco,European Union - 27 countries (from 2020),2023-10,4385.8
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Beverages and tobacco,European Union - 27 countries (from 2020),2023-11,4363.8
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Beverages and tobacco,European Union - 27 countries (from 2020),2023-12,3875.8
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Beverages and tobacco,European Union - 27 countries (from 2020),2024-01,3346.1
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Beverages and tobacco,European Union - 27 countries (from 2020),2024-02,3798.9
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Beverages and tobacco,European Union - 27 countries (from 2020),2024-03,4069.5
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Beverages and tobacco,European Union - 27 countries (from 2020),2024-04,4510.2
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Beverages and tobacco,European Union - 27 countries (from 2020),2024-05,4580.9
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Beverages and tobacco,European Union - 27 countries (from 2020),2024-06,4531.3
