Time frequency,Standard international energy product classification (SIEC),Geopolitical entity (partner),Unit of measure,Geopolitical entity (reporting),Time,value
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Romania,2007,0.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Romania,2008,0.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Romania,2009,0.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Romania,2010,0.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Romania,2011,593.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Romania,2012,604.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Romania,2013,0.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Romania,2014,0.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Romania,2015,0.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Romania,2016,0.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Romania,2017,0.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Romania,2018,0.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Romania,2019,0.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Romania,2020,0.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Romania,2021,0.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Romania,2022,0.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Romania,2023,0.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Romania,2024,0.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Slovenia,2000,0.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Slovenia,2001,0.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Slovenia,2002,0.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Slovenia,2003,0.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Slovenia,2004,0.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Slovenia,2005,0.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Slovenia,2006,6876.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Slovenia,2007,6980.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Slovenia,2008,8178.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Slovenia,2009,6628.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Slovenia,2010,5979.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Slovenia,2011,7532.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Slovenia,2012,11534.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Slovenia,2013,11544.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Slovenia,2014,17691.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Slovenia,2015,20316.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Slovenia,2016,20212.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Slovenia,2017,25627.841
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Slovenia,2018,22622.924
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Slovenia,2019,29943.39
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Slovenia,2020,30943.515
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Slovenia,2021,30516.09
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Slovenia,2022,25965.04
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Slovenia,2023,20830.006
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Slovenia,2024,31284.651
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Slovakia,2000,0.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Slovakia,2001,0.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Slovakia,2002,0.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Slovakia,2003,0.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Slovakia,2004,0.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Slovakia,2005,0.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Slovakia,2006,0.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Slovakia,2007,0.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Slovakia,2008,0.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Slovakia,2009,0.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Slovakia,2010,0.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Slovakia,2011,0.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Slovakia,2012,0.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Slovakia,2013,0.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Slovakia,2014,0.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Slovakia,2015,0.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Slovakia,2016,0.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Slovakia,2017,0.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Slovakia,2018,0.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Slovakia,2019,0.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Slovakia,2020,0.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Slovakia,2021,0.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Slovakia,2022,0.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Slovakia,2023,0.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Slovakia,2024,0.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Finland,2000,0.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Finland,2001,0.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Finland,2002,0.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Finland,2003,0.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Finland,2004,0.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Finland,2005,0.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Finland,2006,0.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Finland,2007,0.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Finland,2008,0.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Finland,2009,0.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Finland,2010,0.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Finland,2011,0.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Finland,2012,0.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Finland,2013,0.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Finland,2014,0.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Finland,2015,0.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Finland,2016,0.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Finland,2017,0.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Finland,2018,0.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Finland,2019,0.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Finland,2020,0.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Finland,2021,0.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Finland,2022,0.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Finland,2023,0.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Finland,2024,0.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Sweden,2000,0.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Sweden,2001,0.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Sweden,2002,0.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Sweden,2003,0.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Sweden,2004,0.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Sweden,2005,0.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Sweden,2006,0.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Sweden,2007,0.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Sweden,2008,0.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Sweden,2009,0.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Sweden,2010,0.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Sweden,2011,0.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Sweden,2012,0.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Sweden,2013,0.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Sweden,2014,0.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Sweden,2015,0.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Sweden,2016,0.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Sweden,2017,0.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Sweden,2018,0.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Sweden,2019,0.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Sweden,2020,507.605
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Sweden,2021,0.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Sweden,2022,0.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Sweden,2023,0.0
Annual,Natural gas,Austria,Terajoule (gross calorific value - GCV),Sweden,2024,0.0
Annual,Natural gas,Norway,Million cubic metres,Belgium,2000,5088.0
Annual,Natural gas,Norway,Million cubic metres,Belgium,2001,5173.0
Annual,Natural gas,Norway,Million cubic metres,Belgium,2002,5292.0
Annual,Natural gas,Norway,Million cubic metres,Belgium,2003,5498.0
Annual,Natural gas,Norway,Million cubic metres,Belgium,2004,6422.0
Annual,Natural gas,Norway,Million cubic metres,Belgium,2005,5402.0
Annual,Natural gas,Norway,Million cubic metres,Belgium,2006,5482.0
Annual,Natural gas,Norway,Million cubic metres,Belgium,2007,5867.0
Annual,Natural gas,Norway,Million cubic metres,Belgium,2008,6576.0
Annual,Natural gas,Norway,Million cubic metres,Belgium,2009,6352.0
Annual,Natural gas,Norway,Million cubic metres,Belgium,2010,7329.0
Annual,Natural gas,Norway,Million cubic metres,Belgium,2011,4753.0
Annual,Natural gas,Norway,Million cubic metres,Belgium,2012,6429.0
Annual,Natural gas,Norway,Million cubic metres,Belgium,2013,6433.0
Annual,Natural gas,Norway,Million cubic metres,Belgium,2014,5503.6
Annual,Natural gas,Norway,Million cubic metres,Belgium,2015,5481.2
Annual,Natural gas,Norway,Million cubic metres,Belgium,2016,5741.6
Annual,Natural gas,Norway,Million cubic metres,Belgium,2017,9472.9
Annual,Natural gas,Norway,Million cubic metres,Belgium,2018,10471.5
Annual,Natural gas,Norway,Million cubic metres,Belgium,2019,9287.1
Annual,Natural gas,Norway,Million cubic metres,Belgium,2020,11363.6
Annual,Natural gas,Norway,Million cubic metres,Belgium,2021,11547.4
Annual,Natural gas,Norway,Million cubic metres,Belgium,2022,5184.0
Annual,Natural gas,Norway,Million cubic metres,Belgium,2023,5137.5
Annual,Natural gas,Norway,Million cubic metres,Belgium,2024,6293.9
Annual,Natural gas,Norway,Million cubic metres,Bulgaria,2000,0.0
Annual,Natural gas,Norway,Million cubic metres,Bulgaria,2001,0.0
Annual,Natural gas,Norway,Million cubic metres,Bulgaria,2002,0.0
Annual,Natural gas,Norway,Million cubic metres,Bulgaria,2003,0.0
Annual,Natural gas,Norway,Million cubic metres,Bulgaria,2004,0.0
Annual,Natural gas,Norway,Million cubic metres,Bulgaria,2005,0.0
Annual,Natural gas,Norway,Million cubic metres,Bulgaria,2006,0.0
Annual,Natural gas,Norway,Million cubic metres,Bulgaria,2007,0.0
Annual,Natural gas,Norway,Million cubic metres,Bulgaria,2008,0.0
Annual,Natural gas,Norway,Million cubic metres,Bulgaria,2009,0.0
Annual,Natural gas,Norway,Million cubic metres,Bulgaria,2010,0.0
Annual,Natural gas,Norway,Million cubic metres,Bulgaria,2011,0.0
Annual,Natural gas,Norway,Million cubic metres,Bulgaria,2012,0.0
Annual,Natural gas,Norway,Million cubic metres,Bulgaria,2013,0.0
Annual,Natural gas,Norway,Million cubic metres,Bulgaria,2014,0.0
Annual,Natural gas,Norway,Million cubic metres,Bulgaria,2015,0.0
Annual,Natural gas,Norway,Million cubic metres,Bulgaria,2016,0.0
Annual,Natural gas,Norway,Million cubic metres,Bulgaria,2017,0.0
Annual,Natural gas,Norway,Million cubic metres,Bulgaria,2018,0.0
Annual,Natural gas,Norway,Million cubic metres,Bulgaria,2019,0.0
Annual,Natural gas,Norway,Million cubic metres,Bulgaria,2020,0.0
Annual,Natural gas,Norway,Million cubic metres,Bulgaria,2021,0.0
Annual,Natural gas,Norway,Million cubic metres,Bulgaria,2022,0.0
Annual,Natural gas,Norway,Million cubic metres,Bulgaria,2023,0.0
Annual,Natural gas,Norway,Million cubic metres,Bulgaria,2024,90.027
Annual,Natural gas,Norway,Million cubic metres,Czechia,2000,1983.0
Annual,Natural gas,Norway,Million cubic metres,Czechia,2001,2353.0
Annual,Natural gas,Norway,Million cubic metres,Czechia,2002,2625.0
Annual,Natural gas,Norway,Million cubic metres,Czechia,2003,2504.0
Annual,Natural gas,Norway,Million cubic metres,Czechia,2004,2332.0
Annual,Natural gas,Norway,Million cubic metres,Czechia,2005,2240.0
Annual,Natural gas,Norway,Million cubic metres,Czechia,2006,2520.0
Annual,Natural gas,Norway,Million cubic metres,Czechia,2007,1828.0
Annual,Natural gas,Norway,Million cubic metres,Czechia,2008,2073.0
Annual,Natural gas,Norway,Million cubic metres,Czechia,2009,3000.0
Annual,Natural gas,Norway,Million cubic metres,Czechia,2010,1057.0
Annual,Natural gas,Norway,Million cubic metres,Czechia,2011,280.0
Annual,Natural gas,Norway,Million cubic metres,Czechia,2012,3.0
Annual,Natural gas,Norway,Million cubic metres,Czechia,2013,4.0
Annual,Natural gas,Norway,Million cubic metres,Czechia,2014,699.0
Annual,Natural gas,Norway,Million cubic metres,Czechia,2015,14.0
Annual,Natural gas,Norway,Million cubic metres,Czechia,2016,2.0
Annual,Natural gas,Norway,Million cubic metres,Czechia,2017,72.0
Annual,Natural gas,Norway,Million cubic metres,Czechia,2018,39.601
Annual,Natural gas,Norway,Million cubic metres,Czechia,2019,25.592
Annual,Natural gas,Norway,Million cubic metres,Czechia,2020,0.0
Annual,Natural gas,Norway,Million cubic metres,Czechia,2021,0.0
Annual,Natural gas,Norway,Million cubic metres,Czechia,2022,1481.266
Annual,Natural gas,Norway,Million cubic metres,Czechia,2023,5923.249
Annual,Natural gas,Norway,Million cubic metres,Czechia,2024,3891.053
Annual,Natural gas,Norway,Million cubic metres,Denmark,2000,0.0
Annual,Natural gas,Norway,Million cubic metres,Denmark,2001,0.0
Annual,Natural gas,Norway,Million cubic metres,Denmark,2002,0.0
Annual,Natural gas,Norway,Million cubic metres,Denmark,2003,0.0
Annual,Natural gas,Norway,Million cubic metres,Denmark,2004,0.0
Annual,Natural gas,Norway,Million cubic metres,Denmark,2005,0.0
Annual,Natural gas,Norway,Million cubic metres,Denmark,2006,0.0
Annual,Natural gas,Norway,Million cubic metres,Denmark,2007,0.0
Annual,Natural gas,Norway,Million cubic metres,Denmark,2008,0.0
Annual,Natural gas,Norway,Million cubic metres,Denmark,2009,0.0
Annual,Natural gas,Norway,Million cubic metres,Denmark,2010,0.0
Annual,Natural gas,Norway,Million cubic metres,Denmark,2011,472.0
Annual,Natural gas,Norway,Million cubic metres,Denmark,2012,663.0
Annual,Natural gas,Norway,Million cubic metres,Denmark,2013,366.0
Annual,Natural gas,Norway,Million cubic metres,Denmark,2014,468.906
Annual,Natural gas,Norway,Million cubic metres,Denmark,2015,545.253
Annual,Natural gas,Norway,Million cubic metres,Denmark,2016,485.005
Annual,Natural gas,Norway,Million cubic metres,Denmark,2017,416.018
Annual,Natural gas,Norway,Million cubic metres,Denmark,2018,289.28
Annual,Natural gas,Norway,Million cubic metres,Denmark,2019,145.428
Annual,Natural gas,Norway,Million cubic metres,Denmark,2020,0.0
Annual,Natural gas,Norway,Million cubic metres,Denmark,2021,0.0
Annual,Natural gas,Norway,Million cubic metres,Denmark,2022,776.231
Annual,Natural gas,Norway,Million cubic metres,Denmark,2023,8160.533
Annual,Natural gas,Norway,Million cubic metres,Denmark,2024,8312.389
Annual,Natural gas,Norway,Million cubic metres,Germany,2000,18353.0
Annual,Natural gas,Norway,Million cubic metres,Germany,2001,20127.0
Annual,Natural gas,Norway,Million cubic metres,Germany,2002,23357.0
Annual,Natural gas,Norway,Million cubic metres,Germany,2003,25874.0
Annual,Natural gas,Norway,Million cubic metres,Germany,2004,25737.0
Annual,Natural gas,Norway,Million cubic metres,Germany,2005,27554.0
Annual,Natural gas,Norway,Million cubic metres,Germany,2006,29502.0
Annual,Natural gas,Norway,Million cubic metres,Germany,2007,26847.0
Annual,Natural gas,Norway,Million cubic metres,Germany,2008,27303.0
Annual,Natural gas,Norway,Million cubic metres,Germany,2009,28120.0
Annual,Natural gas,Norway,Million cubic metres,Germany,2010,28634.0
Annual,Natural gas,Norway,Million cubic metres,Germany,2011,27434.0
Annual,Natural gas,Norway,Million cubic metres,Germany,2012,24482.0
Annual,Natural gas,Norway,Million cubic metres,Germany,2013,20257.0
Annual,Natural gas,Norway,Million cubic metres,Germany,2014,20801.0
Annual,Natural gas,Norway,Million cubic metres,Germany,2015,21994.0
Annual,Natural gas,Norway,Million cubic metres,Germany,2016,10705.0
Annual,Natural gas,Norway,Million cubic metres,Germany,2017,11111.404
Annual,Natural gas,Norway,Million cubic metres,Germany,2018,2460.283
Annual,Natural gas,Norway,Million cubic metres,Germany,2019,2639.601
Annual,Natural gas,Norway,Million cubic metres,Germany,2020,16484.581
Annual,Natural gas,Norway,Million cubic metres,Germany,2021,16159.528
Annual,Natural gas,Norway,Million cubic metres,Germany,2022,27690.345
Annual,Natural gas,Norway,Million cubic metres,Germany,2023,29642.072
Annual,Natural gas,Norway,Million cubic metres,Germany,2024,33496.193
Annual,Natural gas,Norway,Million cubic metres,Estonia,2000,0.0
Annual,Natural gas,Norway,Million cubic metres,Estonia,2001,0.0
Annual,Natural gas,Norway,Million cubic metres,Estonia,2002,0.0
Annual,Natural gas,Norway,Million cubic metres,Estonia,2003,0.0
Annual,Natural gas,Norway,Million cubic metres,Estonia,2004,0.0
Annual,Natural gas,Norway,Million cubic metres,Estonia,2005,0.0
Annual,Natural gas,Norway,Million cubic metres,Estonia,2006,0.0
Annual,Natural gas,Norway,Million cubic metres,Estonia,2007,0.0
Annual,Natural gas,Norway,Million cubic metres,Estonia,2008,0.0
Annual,Natural gas,Norway,Million cubic metres,Estonia,2009,0.0
Annual,Natural gas,Norway,Million cubic metres,Estonia,2010,0.0
Annual,Natural gas,Norway,Million cubic metres,Estonia,2011,0.0
Annual,Natural gas,Norway,Million cubic metres,Estonia,2012,0.0
Annual,Natural gas,Norway,Million cubic metres,Estonia,2013,0.0
Annual,Natural gas,Norway,Million cubic metres,Estonia,2014,0.0
Annual,Natural gas,Norway,Million cubic metres,Estonia,2015,0.0
Annual,Natural gas,Norway,Million cubic metres,Estonia,2016,0.0
Annual,Natural gas,Norway,Million cubic metres,Estonia,2017,0.0
Annual,Natural gas,Norway,Million cubic metres,Estonia,2018,0.0
Annual,Natural gas,Norway,Million cubic metres,Estonia,2019,0.0
Annual,Natural gas,Norway,Million cubic metres,Estonia,2020,0.0
Annual,Natural gas,Norway,Million cubic metres,Estonia,2021,0.0
Annual,Natural gas,Norway,Million cubic metres,Estonia,2022,0.0
Annual,Natural gas,Norway,Million cubic metres,Estonia,2023,0.0
Annual,Natural gas,Norway,Million cubic metres,Estonia,2024,0.0
Annual,Natural gas,Norway,Million cubic metres,Ireland,2000,0.0
Annual,Natural gas,Norway,Million cubic metres,Ireland,2001,0.0
Annual,Natural gas,Norway,Million cubic metres,Ireland,2002,0.0
Annual,Natural gas,Norway,Million cubic metres,Ireland,2003,0.0
Annual,Natural gas,Norway,Million cubic metres,Ireland,2004,0.0
Annual,Natural gas,Norway,Million cubic metres,Ireland,2005,0.0
Annual,Natural gas,Norway,Million cubic metres,Ireland,2006,0.0
Annual,Natural gas,Norway,Million cubic metres,Ireland,2007,0.0
Annual,Natural gas,Norway,Million cubic metres,Ireland,2008,0.0
Annual,Natural gas,Norway,Million cubic metres,Ireland,2009,0.0
Annual,Natural gas,Norway,Million cubic metres,Ireland,2010,0.0
Annual,Natural gas,Norway,Million cubic metres,Ireland,2011,0.0
Annual,Natural gas,Norway,Million cubic metres,Ireland,2012,0.0
Annual,Natural gas,Norway,Million cubic metres,Ireland,2013,0.0
Annual,Natural gas,Norway,Million cubic metres,Ireland,2014,0.0
Annual,Natural gas,Norway,Million cubic metres,Ireland,2015,0.0
Annual,Natural gas,Norway,Million cubic metres,Ireland,2016,0.0
Annual,Natural gas,Norway,Million cubic metres,Ireland,2017,0.0
Annual,Natural gas,Norway,Million cubic metres,Ireland,2018,0.0
Annual,Natural gas,Norway,Million cubic metres,Ireland,2019,0.0
Annual,Natural gas,Norway,Million cubic metres,Ireland,2020,0.0
Annual,Natural gas,Norway,Million cubic metres,Ireland,2021,0.0
Annual,Natural gas,Norway,Million cubic metres,Ireland,2022,0.0
Annual,Natural gas,Norway,Million cubic metres,Ireland,2023,0.0
Annual,Natural gas,Norway,Million cubic metres,Ireland,2024,0.0
Annual,Natural gas,Norway,Million cubic metres,Spain,2000,2400.0
Annual,Natural gas,Norway,Million cubic metres,Spain,2001,2398.0
Annual,Natural gas,Norway,Million cubic metres,Spain,2002,2362.0
Annual,Natural gas,Norway,Million cubic metres,Spain,2003,2429.0
Annual,Natural gas,Norway,Million cubic metres,Spain,2004,2314.0
Annual,Natural gas,Norway,Million cubic metres,Spain,2005,2210.0
Annual,Natural gas,Norway,Million cubic metres,Spain,2006,2124.0
Annual,Natural gas,Norway,Million cubic metres,Spain,2007,2207.0
Annual,Natural gas,Norway,Million cubic metres,Spain,2008,2739.0
Annual,Natural gas,Norway,Million cubic metres,Spain,2009,3496.0
Annual,Natural gas,Norway,Million cubic metres,Spain,2010,3337.0
Annual,Natural gas,Norway,Million cubic metres,Spain,2011,2909.0
Annual,Natural gas,Norway,Million cubic metres,Spain,2012,4032.0
Annual,Natural gas,Norway,Million cubic metres,Spain,2013,3895.0
Annual,Natural gas,Norway,Million cubic metres,Spain,2014,4181.0
Annual,Natural gas,Norway,Million cubic metres,Spain,2015,2858.0
Annual,Natural gas,Norway,Million cubic metres,Spain,2016,3417.0
Annual,Natural gas,Norway,Million cubic metres,Spain,2017,3433.0
Annual,Natural gas,Norway,Million cubic metres,Spain,2018,3185.0
Annual,Natural gas,Norway,Million cubic metres,Spain,2019,2424.0
Annual,Natural gas,Norway,Million cubic metres,Spain,2020,1629.0
Annual,Natural gas,Norway,Million cubic metres,Spain,2021,1046.151
Annual,Natural gas,Norway,Million cubic metres,Spain,2022,357.734
Annual,Natural gas,Norway,Million cubic metres,Spain,2023,521.495
Annual,Natural gas,Norway,Million cubic metres,Spain,2024,415.45
Annual,Natural gas,Norway,Million cubic metres,France,2000,11720.0
Annual,Natural gas,Norway,Million cubic metres,France,2001,11471.0
Annual,Natural gas,Norway,Million cubic metres,France,2002,11995.0
Annual,Natural gas,Norway,Million cubic metres,France,2003,11886.0
Annual,Natural gas,Norway,Million cubic metres,France,2004,11664.0
Annual,Natural gas,Norway,Million cubic metres,France,2005,11094.0
Annual,Natural gas,Norway,Million cubic metres,France,2006,12286.0
Annual,Natural gas,Norway,Million cubic metres,France,2007,13683.0
Annual,Natural gas,Norway,Million cubic metres,France,2008,14653.0
Annual,Natural gas,Norway,Million cubic metres,France,2009,15259.0
Annual,Natural gas,Norway,Million cubic metres,France,2010,16303.0
Annual,Natural gas,Norway,Million cubic metres,France,2011,17014.616
Annual,Natural gas,Norway,Million cubic metres,France,2012,20003.327
Annual,Natural gas,Norway,Million cubic metres,France,2013,19022.821
Annual,Natural gas,Norway,Million cubic metres,France,2014,20444.802
Annual,Natural gas,Norway,Million cubic metres,France,2015,21402.617
Annual,Natural gas,Norway,Million cubic metres,France,2016,19438.593
Annual,Natural gas,Norway,Million cubic metres,France,2017,20410.69
Annual,Natural gas,Norway,Million cubic metres,France,2018,19909.143
Annual,Natural gas,Norway,Million cubic metres,France,2019,21249.558
Annual,Natural gas,Norway,Million cubic metres,France,2020,18578.972
Annual,Natural gas,Norway,Million cubic metres,France,2021,16526.381
Annual,Natural gas,Norway,Million cubic metres,France,2022,17683.006
Annual,Natural gas,Norway,Million cubic metres,France,2023,14954.876
Annual,Natural gas,Norway,Million cubic metres,France,2024,16629.419
Annual,Natural gas,Norway,Million cubic metres,Croatia,2000,0.0
Annual,Natural gas,Norway,Million cubic metres,Croatia,2001,0.0
Annual,Natural gas,Norway,Million cubic metres,Croatia,2002,0.0
Annual,Natural gas,Norway,Million cubic metres,Croatia,2003,0.0
Annual,Natural gas,Norway,Million cubic metres,Croatia,2004,0.0
Annual,Natural gas,Norway,Million cubic metres,Croatia,2005,0.0
Annual,Natural gas,Norway,Million cubic metres,Croatia,2006,0.0
Annual,Natural gas,Norway,Million cubic metres,Croatia,2007,0.0
Annual,Natural gas,Norway,Million cubic metres,Croatia,2008,0.0
Annual,Natural gas,Norway,Million cubic metres,Croatia,2009,0.0
Annual,Natural gas,Norway,Million cubic metres,Croatia,2010,0.0
Annual,Natural gas,Norway,Million cubic metres,Croatia,2011,0.0
Annual,Natural gas,Norway,Million cubic metres,Croatia,2012,0.0
Annual,Natural gas,Norway,Million cubic metres,Croatia,2013,0.0
Annual,Natural gas,Norway,Million cubic metres,Croatia,2014,0.0
Annual,Natural gas,Norway,Million cubic metres,Croatia,2015,0.0
Annual,Natural gas,Norway,Million cubic metres,Croatia,2016,0.0
Annual,Natural gas,Norway,Million cubic metres,Croatia,2017,0.0
Annual,Natural gas,Norway,Million cubic metres,Croatia,2018,0.0
Annual,Natural gas,Norway,Million cubic metres,Croatia,2019,0.0
Annual,Natural gas,Norway,Million cubic metres,Croatia,2020,0.0
Annual,Natural gas,Norway,Million cubic metres,Croatia,2021,0.0
Annual,Natural gas,Norway,Million cubic metres,Croatia,2022,0.0
Annual,Natural gas,Norway,Million cubic metres,Croatia,2023,0.0
Annual,Natural gas,Norway,Million cubic metres,Croatia,2024,0.0
Annual,Natural gas,Norway,Million cubic metres,Italy,2000,0.0
Annual,Natural gas,Norway,Million cubic metres,Italy,2001,1221.0
Annual,Natural gas,Norway,Million cubic metres,Italy,2002,4884.0
Annual,Natural gas,Norway,Million cubic metres,Italy,2003,5030.0
Annual,Natural gas,Norway,Million cubic metres,Italy,2004,5190.0
Annual,Natural gas,Norway,Million cubic metres,Italy,2005,5723.0
Annual,Natural gas,Norway,Million cubic metres,Italy,2006,5745.0
Annual,Natural gas,Norway,Million cubic metres,Italy,2007,5581.0
