Time frequency,Standard international energy product classification (SIEC),Geopolitical entity (partner),Unit of measure,Geopolitical entity (reporting),Time,value
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Denmark,2016,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Denmark,2017,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Denmark,2018,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Denmark,2019,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Denmark,2020,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Denmark,2021,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Denmark,2022,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Denmark,2023,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Denmark,2024,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Germany,2000,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Germany,2001,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Germany,2002,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Germany,2003,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Germany,2004,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Germany,2005,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Germany,2006,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Germany,2007,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Germany,2008,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Germany,2009,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Germany,2010,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Germany,2011,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Germany,2012,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Germany,2013,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Germany,2014,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Germany,2015,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Germany,2016,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Germany,2017,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Germany,2018,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Germany,2019,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Germany,2020,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Germany,2021,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Germany,2022,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Germany,2023,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Germany,2024,0.0
