Time frequency,Unit of measure,Stock or flow,Products and final uses,"Products, adjustments and value added",Geopolitical entity (reporting),Time,value,country
Annual,Million euro,Total,"Other professional, scientific and technical services",Imports of goods and services from EU countries,Hungary,2020,1083.82,HU
Annual,Million euro,Total,Warehousing and support services for transportation,Imports of goods and services,Czechia,2022,1083.57,CZ
Annual,Million euro,Total,Buildings and building construction works,Constructions and construction works,Hungary,2021,1082.81,HU
Annual,Million euro,Total,"Financial services, except insurance and pension funding",Taxes less subsidies on products,Luxembourg,2020,1082.57,LU
Annual,Million euro,Total,Paper and paper products,Consumption of fixed capital,Sweden,2023,1082.43,SE
Annual,Million euro,Total,"Computer, electronic and optical products",Compensation of employees,Sweden,2021,1082.05,SE
Annual,Million euro,Total,Rental and leasing services,Total intermediate consumption /final use,Czechia,2020,1081.84,CZ
Annual,Million euro,Total,Exports of goods and services to non-EU countries,Scientific research and development services,Spain,2020,1081.8,ES
Annual,Million euro,Total,Public administration and defence services; compulsory social security services,"Operating surplus and mixed income, gross",Luxembourg,2021,1081.56,LU
Annual,Million euro,Total,Accommodation and food services,Wages and salaries,Hungary,2020,1081.05,HU
Annual,Million euro,Total,Wholesale and retail trade and repair services of motor vehicles and motorcycles,"Operating surplus and mixed income, net",Czechia,2022,1080.92,CZ
Annual,Million euro,Total,Constructions and construction works,"Wholesale trade services, except of motor vehicles and motorcycles",Hungary,2023,1080.89,HU
Annual,Million euro,Total,Total final use,Accommodation services,Czechia,2020,1080.7,CZ
Annual,Million euro,Total,Architectural and engineering services; technical testing and analysis services,Imports of goods and services,Poland,2020,1080.64,PL
Annual,Million euro,Total,"Creative, arts, entertainment, library, archive, museum, other cultural services; gambling and betting services","Operating surplus and mixed income, net",Sweden,2022,1080.57,SE
Annual,Million euro,Total,"Financial services, except insurance and pension funding",Output,Estonia,2020,1080.48,EE
Annual,Million euro,Total,"Insurance, reinsurance and pension funding services, except compulsory social security","Operating surplus and mixed income, net",Luxembourg,2022,1080.0,LU
Annual,Million euro,Total,Land transport services and transport services via pipelines,Taxes less subsidies on products,Sweden,2021,1079.88,SE
Annual,Million euro,Total,Basic metals,Basic metals,Hungary,2022,1079.82,HU
Annual,Million euro,Total,Exports of goods and services to non-EU countries,Warehousing and support services for transportation,Cyprus,2021,1079.59,CY
Annual,Million euro,Total,Final consumption expediture,"Textiles, wearing apparel, leather and related products",Czechia,2020,1079.38,CZ
Annual,Million euro,Total,Total use,Information services,Hungary,2023,1079.16,HU
Annual,Million euro,Total,Information services,Total supply at basic prices,Hungary,2023,1079.16,HU
Annual,Million euro,Total,Final consumption expenditure by households,Telecommunications services,Croatia,2020,1079.1,HR
Annual,Million euro,Total,Exports of goods and services,Coke and refined petroleum products,Austria,2020,1079.1,AT
Annual,Million euro,Total,Services of head offices; management consulting services,Compensation of employees,Czechia,2020,1079.08,CZ
Annual,Million euro,Total,Exports of goods and services,"Computer programming, consultancy and related services",Croatia,2021,1078.87,HR
Annual,Million euro,Total,Buildings and building construction works,Wages and salaries,Hungary,2022,1078.59,HU
Annual,Million euro,Total,Sporting services and amusement and recreation services,Total intermediate consumption /final use,Czechia,2020,1078.4,CZ
Annual,Million euro,Total,Chemicals and chemical products,Consumption of fixed capital,Poland,2020,1078.27,PL
Annual,Million euro,Total,Exports of goods and services to EU countries,Publishing services,Austria,2022,1078.17,AT
Annual,Million euro,Total,Postal and courier services,Compensation of employees,Austria,2020,1077.97,AT
Annual,Million euro,Total,Final consumption expenditure by households,"Security and investigation services; services to buildings and landscape; office administrative, office support and other business support services",Austria,2020,1077.91,AT
Annual,Million euro,Total,Constructions and construction works,Compensation of employees,Estonia,2020,1077.45,EE
Annual,Million euro,Total,Legal and accounting services,"Operating surplus and mixed income, net",Czechia,2020,1077.41,CZ
Annual,Million euro,Total,Exports of goods and services to euro area countries,Basic metals,Slovakia,2020,1077.41,SK
Annual,Million euro,Total,"Sewerage services; sewage sludge; waste collection, treatment and disposal services; materials recovery services; remediation services and other waste management services",Output,Slovakia,2020,1077.38,SK
Annual,Million euro,Total,Other transport equipment,Imports of goods and services,Czechia,2020,1077.15,CZ
Annual,Million euro,Total,Total use,"Food, beverages and tobacco products",Malta,2020,1077.08,MT
Annual,Million euro,Total,"Food, beverages and tobacco products",Total supply at basic prices,Malta,2020,1077.08,MT
Annual,Million euro,Total,Other manufactured goods,"Value added, gross",Czechia,2020,1076.77,CZ
Annual,Million euro,Total,Final consumption expediture,Furniture and other manufactured goods,Hungary,2021,1076.59,HU
Annual,Million euro,Total,Wholesale and retail trade and repair services of motor vehicles and motorcycles,"Motor vehicles, trailers and semi-trailers",Austria,2020,1076.48,AT
Annual,Million euro,Total,"Security and investigation services; services to buildings and landscape; office administrative, office support and other business support services",Architectural and engineering services; technical testing and analysis services,Spain,2020,1076.4,ES
Annual,Million euro,Total,Warehousing and support services for transportation,Wages and salaries,Hungary,2022,1076.25,HU
Annual,Million euro,Total,Changes in inventories and acquisition less disposals of valuables,"Electricity, gas, steam and air conditioning",Czechia,2022,1076.2,CZ
Annual,Million euro,Total,Gross capital formation,"Electricity, gas, steam and air conditioning",Czechia,2022,1076.2,CZ
Annual,Million euro,Total,Changes in inventories,"Electricity, gas, steam and air conditioning",Czechia,2022,1076.2,CZ
Annual,Million euro,Total,Publishing services,"Computer programming, consultancy and related services; Information services",Sweden,2022,1076.15,SE
Annual,Million euro,Total,Total use,Coal and lignite,Czechia,2020,1076.09,CZ
Annual,Million euro,Total,Coal and lignite,Total supply at basic prices,Czechia,2020,1076.09,CZ
Annual,Million euro,Total,Basic pharmaceutical products and pharmaceutical preparations,Total intermediate consumption /final use,Slovenia,2020,1076.08,SI
Annual,Million euro,Total,"Products of agriculture, hunting and related services","Wholesale trade services, except of motor vehicles and motorcycles",Poland,2020,1076.01,PL
Annual,Million euro,Total,Exports of goods and services to EU countries,"Security and investigation services; services to buildings and landscape; office administrative, office support and other business support services",Luxembourg,2022,1075.87,LU
Annual,Million euro,Total,Water transport services,Imports of goods and services from non-EU countries,Austria,2022,1075.85,AT
Annual,Million euro,Total,Gross capital formation,Wholesale and retail trade and repair services of motor vehicles and motorcycles,Austria,2021,1075.56,AT
Annual,Million euro,Total,Basic metals,"Value added, gross",Czechia,2020,1075.52,CZ
Annual,Million euro,Total,Furniture and other manufactured goods,Imports of goods and services,Croatia,2021,1075.24,HR
Annual,Million euro,Total,Exports of goods and services to EU countries,Postal and courier services,Austria,2022,1075.23,AT
Annual,Million euro,Total,Human health services,Real estate services excluding imputed rents,Sweden,2022,1075.02,SE
Annual,Million euro,Total,Wholesale and retail trade and repair services of motor vehicles and motorcycles,Output,Luxembourg,2021,1074.96,LU
Annual,Million euro,Total,Total final use,"Motor vehicles, trailers and semi-trailers",Latvia,2020,1074.95,LV
Annual,Million euro,Total,"Textiles, wearing apparel, leather and related products","Textiles, wearing apparel, leather and related products",Austria,2022,1074.8,AT
Annual,Million euro,Total,"Wholesale trade services, except of motor vehicles and motorcycles",Consumption of fixed capital,Hungary,2023,1074.7,HU
Annual,Million euro,Total,Other personal services,Wages and salaries,Austria,2022,1074.63,AT
Annual,Million euro,Total,Land transport services and transport services via pipelines,Rental and leasing services,Spain,2020,1074.3,ES
Annual,Million euro,Total,"Products of forestry, logging and related services","Products of forestry, logging and related services",Austria,2021,1074.05,AT
Annual,Million euro,Total,Exports of goods and services to non-EU countries,Rubber and plastic products,Hungary,2023,1073.9,HU
Annual,Million euro,Total,Accommodation and food services,"Operating surplus and mixed income, gross",Sweden,2022,1073.89,SE
Annual,Million euro,Total,Food and beverage serving services,Total intermediate consumption /final use,Croatia,2021,1073.81,HR
Annual,Million euro,Total,Air transport services,Rental and leasing services,Spain,2020,1073.7,ES
Annual,Million euro,Total,Exports of goods and services to EU countries,Coke and refined petroleum products,Slovakia,2020,1073.68,SK
Annual,Million euro,Total,Electrical equipment,Imports of goods and services,Croatia,2020,1073.63,HR
Annual,Million euro,Total,"Food, beverages and tobacco products","Wholesale trade services, except of motor vehicles and motorcycles",Austria,2021,1073.26,AT
Annual,Million euro,Total,Other personal services,"Value added, gross",Hungary,2023,1073.22,HU
Annual,Million euro,Total,Constructions and construction works for civil engineering,Constructions and construction works,Hungary,2023,1073.06,HU
Annual,Million euro,Total,Wholesale and retail trade and repair services of motor vehicles and motorcycles,"Operating surplus and mixed income, gross",Hungary,2023,1073.04,HU
Annual,Million euro,Total,"Wholesale trade services, except of motor vehicles and motorcycles","Financial services, except insurance and pension funding",Spain,2020,1073.0,ES
Annual,Million euro,Total,Other non-metallic mineral products,"Value added, gross",Hungary,2022,1072.93,HU
Annual,Million euro,Total,"Wholesale trade services, except of motor vehicles and motorcycles","Wholesale trade services, except of motor vehicles and motorcycles",Austria,2022,1072.6,AT
Annual,Million euro,Total,Rubber and plastic products,Chemicals and chemical products,Sweden,2022,1072.57,SE
Annual,Million euro,Total,Rubber and plastic products,"Retail trade services, except of motor vehicles and motorcycles",Spain,2020,1072.4,ES
Annual,Million euro,Total,Rental and leasing services,Imports of goods and services from EU countries,Hungary,2022,1072.0,HU
Annual,Million euro,Total,Exports of goods and services to non-EU countries,"Computer programming, consultancy and related services",Hungary,2021,1071.78,HU
Annual,Million euro,Total,"Computer programming, consultancy and related services; Information services",Real estate services excluding imputed rents,Sweden,2022,1071.72,SE
Annual,Million euro,Total,Electrical equipment,Imports of goods and services from EU countries,Croatia,2021,1071.5,HR
Annual,Million euro,Total,Education services,Consumption of fixed capital,Portugal,2020,1071.42,PT
Annual,Million euro,Total,Repair and installation services of machinery and equipment,Repair and installation services of machinery and equipment,Austria,2020,1071.42,AT
Annual,Million euro,Total,Other transport equipment,"Operating surplus and mixed income, gross",Sweden,2023,1071.37,SE
Annual,Million euro,Total,"Security and investigation services; services to buildings and landscape; office administrative, office support and other business support services","Operating surplus and mixed income, gross",Czechia,2022,1071.36,CZ
Annual,Million euro,Total,Human health services,Real estate services excluding imputed rents,Sweden,2021,1071.31,SE
Annual,Million euro,Total,Final consumption expenditure by households,Other personal services,Ireland,2020,1071.31,IE
Annual,Million euro,Total,Constructions and construction works,Basic metals,Sweden,2022,1071.16,SE
Annual,Million euro,Total,"Products of forestry, logging and related services","Operating surplus and mixed income, net",Austria,2022,1071.13,AT
Annual,Million euro,Total,"Insurance, reinsurance and pension funding services, except compulsory social security",Total intermediate consumption /final use,Hungary,2023,1070.95,HU
Annual,Million euro,Total,"Motor vehicles, trailers and semi-trailers",Land transport services and transport services via pipelines,Poland,2020,1070.74,PL
Annual,Million euro,Total,Basic pharmaceutical products and pharmaceutical preparations,Compensation of employees,Austria,2022,1070.54,AT
Annual,Million euro,Total,Other non-metallic mineral products,Compensation of employees,Czechia,2020,1070.5,CZ
Annual,Million euro,Total,Exports of goods and services to euro area countries,"Wholesale trade services, except of motor vehicles and motorcycles",Lithuania,2020,1070.15,LT
Annual,Million euro,Total,Telecommunications services,"Operating surplus and mixed income, gross",Hungary,2021,1069.94,HU
Annual,Million euro,Total,Constructions and construction works,Buildings and building construction works,Hungary,2022,1069.72,HU
Annual,Million euro,Total,Exports of goods and services to EU countries outside the euro area,Rental and leasing services,Ireland,2020,1069.61,IE
Annual,Million euro,Total,Warehousing and support services for transportation,"Operating surplus and mixed income, gross",Hungary,2020,1069.58,HU
Annual,Million euro,Total,Gross capital formation,"Computer, electronic and optical products",Slovakia,2020,1069.58,SK
Annual,Million euro,Total,Basic pharmaceutical products and pharmaceutical preparations,Imports of goods and services from non-EU countries,Hungary,2022,1069.48,HU
Annual,Million euro,Total,"Computer programming, consultancy and related services; Information services","Operating surplus and mixed income, net",Slovakia,2020,1069.41,SK
Annual,Million euro,Total,Exports of goods and services to non-EU countries,Telecommunications services,Spain,2020,1069.4,ES
Annual,Million euro,Total,Textiles,Imports of goods and services,Hungary,2020,1069.39,HU
Annual,Million euro,Total,Publishing services,Publishing services,Sweden,2021,1069.33,SE
Annual,Million euro,Total,Final consumption expenditure by households,"Travel agency, tour operator and other reservation services and related services",Poland,2020,1069.16,PL
Annual,Million euro,Total,Human health services,Furniture and other manufactured goods,Sweden,2023,1069.01,SE
Annual,Million euro,Total,Electrical equipment,Chemicals and chemical products,Hungary,2021,1068.99,HU
Annual,Million euro,Total,"Insurance, reinsurance and pension funding services, except compulsory social security",Output,Slovenia,2020,1068.89,SI
Annual,Million euro,Total,"Textiles, wearing apparel, leather and related products",Imports of goods and services from EU countries,Croatia,2021,1068.89,HR
Annual,Million euro,Total,Printing and recording services,Total intermediate consumption /final use,Austria,2022,1068.88,AT
Annual,Million euro,Total,Exports of goods and services to EU countries,Electrical equipment,Ireland,2020,1068.87,IE
Annual,Million euro,Total,Gross fixed capital formation,Wholesale and retail trade and repair services of motor vehicles and motorcycles,Austria,2021,1068.78,AT
Annual,Million euro,Total,Constructions and construction works,Machinery and equipment n.e.c.,Ireland,2020,1068.6,IE
Annual,Million euro,Total,Exports of goods and services,"Wholesale trade services, except of motor vehicles and motorcycles",Croatia,2020,1068.44,HR
Annual,Million euro,Total,"Motor vehicles, trailers and semi-trailers",Basic metals,Hungary,2022,1068.4,HU
Annual,Million euro,Total,Services auxiliary to financial services and insurance services,Legal and accounting services; services of head offices; management consultancy services,Luxembourg,2021,1068.06,LU
Annual,Million euro,Total,Other non-metallic mineral products,Other non-metallic mineral products,Czechia,2022,1067.78,CZ
Annual,Million euro,Total,Exports of goods and services to non-EU countries,Air transport services,Luxembourg,2020,1067.77,LU
Annual,Million euro,Total,Exports of goods and services to EU countries,Publishing services,Cyprus,2022,1067.76,CY
Annual,Million euro,Total,"Food, beverages and tobacco products",Imports of goods and services from euro area countries,Slovenia,2020,1067.75,SI
Annual,Million euro,Total,Land transport services and transport services via pipelines,"Operating surplus and mixed income, gross",Portugal,2020,1067.61,PT
Annual,Million euro,Total,Food and beverage serving services,Wages and salaries,Czechia,2020,1067.55,CZ
Annual,Million euro,Total,"Textiles, wearing apparel, leather and related products",Imports of goods and services from euro area countries,Croatia,2020,1067.31,HR
Annual,Million euro,Total,"Products of agriculture, hunting and related services",Total intermediate consumption /final use,Latvia,2020,1067.19,LV
Annual,Million euro,Total,Other manufactured goods,Imports of goods and services,Slovakia,2020,1067.03,SK
Annual,Million euro,Total,Specialised construction works,Wages and salaries,Hungary,2020,1066.78,HU
Annual,Million euro,Total,"Computer, electronic and optical products",Compensation of employees,Hungary,2022,1066.58,HU
Annual,Million euro,Total,Exports of goods and services to EU countries,Coke and refined petroleum products,Hungary,2020,1066.46,HU
Annual,Million euro,Total,Total final use,"Security and investigation services; services to buildings and landscape; office administrative, office support and other business support services",Luxembourg,2021,1066.38,LU
Annual,Million euro,Total,"Sewerage services; sewage sludge; waste collection, treatment and disposal services; materials recovery services; remediation services and other waste management services",Wages and salaries,Austria,2022,1066.28,AT
Annual,Million euro,Total,"Products of agriculture, hunting and related services","Food, beverages and tobacco products",Czechia,2020,1066.04,CZ
Annual,Million euro,Total,Exports of goods and services to euro area countries,"Textiles, wearing apparel, leather and related products",Slovakia,2020,1066.01,SK
Annual,Million euro,Total,"Textiles, wearing apparel, leather and related products",Imports of goods and services from non-EU countries,Portugal,2020,1065.98,PT
Annual,Million euro,Total,Exports of goods and services to EU countries,Paper and paper products,Hungary,2022,1065.71,HU
Annual,Million euro,Total,Constructions and construction works,Furniture and other manufactured goods,Spain,2020,1065.7,ES
Annual,Million euro,Total,"Travel agency, tour operator and other reservation services and related services",Air transport services,Sweden,2022,1065.61,SE
Annual,Million euro,Total,Machinery and equipment n.e.c.,Electrical equipment,Austria,2021,1065.58,AT
Annual,Million euro,Total,"Fabricated metal products, except machinery and equipment",Consumption of fixed capital,Poland,2020,1065.57,PL
Annual,Million euro,Total,"Wholesale trade services, except of motor vehicles and motorcycles","Operating surplus and mixed income, net",Slovenia,2020,1065.55,SI
Annual,Million euro,Total,Human health services,"Operating surplus and mixed income, gross",Hungary,2023,1065.31,HU
Annual,Million euro,Total,Total final use,Air transport services,Hungary,2021,1064.89,HU
Annual,Million euro,Total,"Fabricated metal products, except machinery and equipment",Consumption of fixed capital,Czechia,2022,1064.72,CZ
Annual,Million euro,Total,Paper and paper products,Imports of goods and services from euro area countries,Portugal,2020,1064.63,PT
Annual,Million euro,Total,Exports of goods and services,"Products of agriculture, hunting and related services",Austria,2021,1063.75,AT
Annual,Million euro,Total,Furniture and other manufactured goods,Compensation of employees,Sweden,2023,1063.7,SE
Annual,Million euro,Total,Publishing services,Total supply at basic prices,Hungary,2022,1063.54,HU
Annual,Million euro,Total,Total use,Publishing services,Hungary,2022,1063.54,HU
Annual,Million euro,Total,Rubber and plastic products,Compensation of employees,Hungary,2023,1063.54,HU
Annual,Million euro,Total,"Food, beverages and tobacco products","Wholesale trade services, except of motor vehicles and motorcycles",Austria,2020,1063.49,AT
Annual,Million euro,Total,Basic metals,"Value added, gross",Czechia,2022,1063.34,CZ
Annual,Million euro,Total,Advertising and market research services,"Value added, gross",Luxembourg,2022,1063.16,LU
Annual,Million euro,Total,Water transport services,Imports of goods and services from EU countries,Sweden,2021,1063.13,SE
Annual,Million euro,Total,"Office administrative, office support and other business support services","Value added, gross",Czechia,2020,1063.09,CZ
Annual,Million euro,Total,Wholesale and retail trade and repair services of motor vehicles and motorcycles,Output,Croatia,2020,1063.09,HR
Annual,Million euro,Total,Wholesale and retail trade and repair services of motor vehicles and motorcycles,Total supply at basic prices,Croatia,2020,1063.09,HR
Annual,Million euro,Total,Total use,Wholesale and retail trade and repair services of motor vehicles and motorcycles,Croatia,2020,1063.09,HR
Annual,Million euro,Total,"Computer programming, consultancy and related services; Information services","Computer, electronic and optical products",Sweden,2022,1063.07,SE
Annual,Million euro,Total,Total use,Services auxiliary to financial services and insurance services,Malta,2020,1062.84,MT
Annual,Million euro,Total,Services auxiliary to financial services and insurance services,Total supply at basic prices,Malta,2020,1062.84,MT
Annual,Million euro,Total,Public administration and defence services; compulsory social security services,Taxes less subsidies on products,Hungary,2023,1062.78,HU
Annual,Million euro,Total,Exports of goods and services to EU countries outside the euro area,Food products,Slovakia,2020,1062.69,SK
Annual,Million euro,Total,Final consumption expediture,Basic pharmaceutical products and pharmaceutical preparations,Croatia,2020,1062.67,HR
Annual,Million euro,Total,Exports of goods and services to EU countries,Warehousing and support services for transportation,Cyprus,2021,1062.38,CY
Annual,Million euro,Total,Public administration and defence services; compulsory social security services,Total intermediate consumption /final use,Lithuania,2020,1062.27,LT
Annual,Million euro,Total,Basic metals,Imports of goods and services from EU countries,Croatia,2020,1062.26,HR
Annual,Million euro,Total,Constructions and construction works,Total intermediate consumption /final use,Malta,2020,1062.12,MT
Annual,Million euro,Total,"Financial services, except insurance and pension funding",Legal and accounting services; services of head offices; management consultancy services,Cyprus,2021,1062.03,CY
Annual,Million euro,Total,Real estate services excluding imputed rents,Wages and salaries,Hungary,2023,1061.74,HU
Annual,Million euro,Total,"Computer, electronic and optical products",Compensation of employees,Poland,2020,1061.49,PL
Annual,Million euro,Total,"Products of agriculture, hunting and related services",Consumption of fixed capital,Hungary,2021,1061.32,HU
Annual,Million euro,Total,Other personal services,Compensation of employees,Austria,2021,1061.14,AT
Annual,Million euro,Total,Total use,"Textiles, wearing apparel, leather and related products",Latvia,2020,1061.04,LV
Annual,Million euro,Total,"Textiles, wearing apparel, leather and related products",Total supply at basic prices,Latvia,2020,1061.04,LV
Annual,Million euro,Total,"Retail trade services, except of motor vehicles and motorcycles","Operating surplus and mixed income, gross",Croatia,2021,1060.11,HR
Annual,Million euro,Total,Paper and paper products,Consumption of fixed capital,Sweden,2022,1060.06,SE
Annual,Million euro,Total,Accommodation and food services,Other taxes less other subsidies on production,Sweden,2023,1059.78,SE
Annual,Million euro,Total,Electrical equipment,Basic metals,Czechia,2020,1059.69,CZ
Annual,Million euro,Total,Human health services,"Value added, gross",Latvia,2020,1059.38,LV
Annual,Million euro,Total,Exports of goods and services,Other non-metallic mineral products,Sweden,2022,1059.31,SE
Annual,Million euro,Total,Wholesale and retail trade and repair services of motor vehicles and motorcycles,Real estate services excluding imputed rents,Spain,2020,1059.3,ES
Annual,Million euro,Total,Air transport services,Imports of goods and services from EU countries,Sweden,2023,1059.26,SE
Annual,Million euro,Total,Constructions and construction works,"Operating surplus and mixed income, gross",Luxembourg,2020,1059.21,LU
Annual,Million euro,Total,"Wholesale trade services, except of motor vehicles and motorcycles","Financial services, except insurance and pension funding",Austria,2022,1059.2,AT
Annual,Million euro,Total,Exports of goods and services to non-EU countries,Warehousing and support services for transportation,Hungary,2022,1059.17,HU
Annual,Million euro,Total,Total final use,Chemicals and chemical products,Luxembourg,2021,1058.84,LU
Annual,Million euro,Total,Exports of goods and services to non-EU countries,Advertising and market research services,Sweden,2021,1058.49,SE
Annual,Million euro,Total,Total use,Rental and leasing services,Lithuania,2020,1058.47,LT
Annual,Million euro,Total,Rental and leasing services,Total supply at basic prices,Lithuania,2020,1058.47,LT
Annual,Million euro,Total,Exports of goods and services,Basic pharmaceutical products and pharmaceutical preparations,Portugal,2020,1058.46,PT
Annual,Million euro,Total,Exports of goods and services,"Security and investigation services; services to buildings and landscape; office administrative, office support and other business support services",Luxembourg,2020,1058.43,LU
Annual,Million euro,Total,Legal and accounting services; services of head offices; management consultancy services,Output,Estonia,2020,1058.34,EE
Annual,Million euro,Total,Basic pharmaceutical products and pharmaceutical preparations,"Wholesale trade services, except of motor vehicles and motorcycles",Spain,2020,1058.3,ES
Annual,Million euro,Total,Final consumption expenditure by government,"Sewerage services; sewage sludge; waste collection, treatment and disposal services; materials recovery services; remediation services and other waste management services",Ireland,2020,1058.16,IE
Annual,Million euro,Total,Basic metals,Basic metals,Portugal,2020,1057.85,PT
Annual,Million euro,Total,Final consumption expediture,Chemicals and chemical products,Czechia,2020,1057.76,CZ
Annual,Million euro,Total,Coke and refined petroleum products,Imports of goods and services from non-EU countries,Cyprus,2022,1057.75,CY
Annual,Million euro,Total,"Computer programming, consultancy and related services; Information services",Real estate services excluding imputed rents,Sweden,2021,1057.7,SE
Annual,Million euro,Total,Services auxiliary to financial services and insurance services,"Value added, gross",Hungary,2023,1057.62,HU
Annual,Million euro,Total,Final consumption expenditure by households,Chemicals and chemical products,Czechia,2020,1057.53,CZ
Annual,Million euro,Total,Services of head offices; management consulting services,"Operating surplus and mixed income, gross",Hungary,2023,1057.37,HU
Annual,Million euro,Total,"Products of agriculture, hunting and related services",Food products,Czechia,2020,1057.3,CZ
Annual,Million euro,Total,"Motion picture, video and television programme production services, sound recording and music publishing; programming and broadcasting services","Value added, gross",Austria,2020,1057.25,AT
Annual,Million euro,Total,Exports of goods and services to EU countries,"Textiles, wearing apparel, leather and related products",Croatia,2020,1056.97,HR
Annual,Million euro,Total,Final consumption expenditure by households,"Security and investigation services; services to buildings and landscape; office administrative, office support and other business support services",Spain,2020,1056.9,ES
Annual,Million euro,Total,Publishing services,Publishing services,Sweden,2022,1056.77,SE
Annual,Million euro,Total,Gross fixed capital formation,Other transport equipment,Hungary,2022,1056.77,HU
Annual,Million euro,Total,Legal and accounting services; services of head offices; management consultancy services,Advertising and market research services,Luxembourg,2020,1056.44,LU
Annual,Million euro,Total,Architectural and engineering services; technical testing and analysis services,"Value added, gross",Slovakia,2020,1056.4,SK
Annual,Million euro,Total,Exports of goods and services to EU countries,Legal and accounting services; services of head offices; management consultancy services,Hungary,2021,1056.25,HU
Annual,Million euro,Total,Social work services without accommodation,Compensation of employees,Hungary,2023,1056.22,HU
Annual,Million euro,Total,"Motion picture, video and television programme production services, sound recording and music publishing; programming and broadcasting services",Imports of goods and services from euro area countries,Austria,2022,1056.09,AT
Annual,Million euro,Total,Total final use,Programming and broadcasting services,Czechia,2022,1056.05,CZ
Annual,Million euro,Total,Legal and accounting services; services of head offices; management consultancy services,Output,Malta,2020,1055.63,MT
Annual,Million euro,Total,Basic metals,Consumption of fixed capital,Poland,2020,1055.25,PL
Annual,Million euro,Total,Exports of goods and services to euro area countries,Furniture and other manufactured goods,Portugal,2020,1055.18,PT
Annual,Million euro,Total,Natural water; water treatment and supply services,Output,Czechia,2020,1054.73,CZ
Annual,Million euro,Total,Natural water; water treatment and supply services,Total supply at basic prices,Czechia,2020,1054.73,CZ
Annual,Million euro,Total,Total use,Natural water; water treatment and supply services,Czechia,2020,1054.73,CZ
Annual,Million euro,Total,Exports of goods and services,Wholesale and retail trade and repair services of motor vehicles and motorcycles,Austria,2021,1054.73,AT
Annual,Million euro,Total,"Food, beverages and tobacco products",Imports of goods and services from EU countries,Cyprus,2022,1054.42,CY
Annual,Million euro,Total,"Office administrative, office support and other business support services","Value added, gross",Hungary,2021,1054.01,HU
Annual,Million euro,Total,Food and beverage serving services,"Operating surplus and mixed income, net",Czechia,2022,1053.98,CZ
Annual,Million euro,Total,Final consumption expenditure by households,"Other professional, scientific and technical services and veterinary services",Spain,2020,1053.9,ES
Annual,Million euro,Total,Exports of goods and services to euro area countries,Machinery and equipment n.e.c.,Ireland,2020,1053.79,IE
Annual,Million euro,Total,"Insurance, reinsurance and pension funding services, except compulsory social security","Operating surplus and mixed income, gross",Luxembourg,2021,1053.74,LU
Annual,Million euro,Total,Furniture,Output,Hungary,2022,1053.41,HU
Annual,Million euro,Total,Services to buildings and landscape,Total intermediate consumption /final use,Hungary,2022,1053.37,HU
Annual,Million euro,Total,Paper and paper products,Warehousing and support services for transportation,Sweden,2022,1053.29,SE
Annual,Million euro,Total,Total final use,Other non-metallic mineral products,Sweden,2021,1053.17,SE
Annual,Million euro,Total,Total use,Rubber and plastic products,Estonia,2020,1053.01,EE
Annual,Million euro,Total,Rubber and plastic products,Total supply at basic prices,Estonia,2020,1053.01,EE
Annual,Million euro,Total,Basic pharmaceutical products and pharmaceutical preparations,Consumption of fixed capital,Sweden,2021,1052.68,SE
Annual,Million euro,Total,"Travel agency, tour operator and other reservation services and related services","Value added, gross",Sweden,2023,1052.37,SE
Annual,Million euro,Total,Rubber and plastic products,Rubber and plastic products,Hungary,2022,1052.34,HU
Annual,Million euro,Total,Exports of goods and services to non-EU countries,Water transport services,Sweden,2022,1052.25,SE
Annual,Million euro,Total,"Creative, arts, entertainment, library, archive, museum, other cultural services; gambling and betting services",Total intermediate consumption /final use,Austria,2020,1052.2,AT
Annual,Million euro,Total,Exports of goods and services to EU countries,Land transport services and transport services via pipelines,Latvia,2020,1052.18,LV
Annual,Million euro,Total,"Wholesale trade services, except of motor vehicles and motorcycles",Imports of goods and services from euro area countries,Austria,2022,1051.72,AT
Annual,Million euro,Total,"Motion picture, video and television programme production services, sound recording and music publishing; programming and broadcasting services",Imports of goods and services from EU countries,Austria,2021,1051.4,AT
Annual,Million euro,Total,Exports of goods and services,Rental and leasing services,Malta,2020,1051.3,MT
Annual,Million euro,Total,Repair services of computers and personal and household goods,Compensation of employees,Poland,2020,1051.29,PL
Annual,Million euro,Total,Other transport equipment,Other transport equipment,Austria,2020,1051.21,AT
Annual,Million euro,Total,Rental and leasing services,Imports of goods and services from EU countries,Hungary,2020,1051.1,HU
Annual,Million euro,Total,"Security and investigation services; services to buildings and landscape; office administrative, office support and other business support services","Operating surplus and mixed income, gross",Hungary,2021,1050.49,HU
Annual,Million euro,Total,Total final use,"Wholesale trade services, except of motor vehicles and motorcycles",Cyprus,2022,1050.44,CY
Annual,Million euro,Total,Exports of goods and services to non-EU countries,Water transport services,Sweden,2023,1050.28,SE
Annual,Million euro,Total,Security and investigation services,Output,Hungary,2022,1050.21,HU
Annual,Million euro,Total,Security and investigation services,Total supply at basic prices,Hungary,2022,1050.21,HU
Annual,Million euro,Total,Total use,Security and investigation services,Hungary,2022,1050.21,HU
Annual,Million euro,Total,"Retail trade services, except of motor vehicles and motorcycles",Legal and accounting services; services of head offices; management consultancy services,Sweden,2022,1050.18,SE
