Time frequency,Unit of measure,Stock or flow,Products and final uses,"Products, adjustments and value added",Geopolitical entity (reporting),Time,value,country
Annual,Million euro,Total,Other non-metallic mineral products,Output,Poland,2020,15317.65,PL
Annual,Million euro,Total,Education services,"Operating surplus and mixed income, gross",France,2020,15315.63,FR
Annual,Million euro,Total,Exports of goods and services to EU countries outside the euro area,"Wholesale trade services, except of motor vehicles and motorcycles",Germany,2022,15314.0,DE
Annual,Million euro,Total,Real estate services excluding imputed rents,Legal and accounting services; services of head offices; management consultancy services,Germany,2020,15310.0,DE
Annual,Million euro,Total,Total final use,"Computer, electronic and optical products",Hungary,2020,15309.62,HU
Annual,Million euro,Total,Postal and courier services,Wages and salaries,Germany,2022,15307.0,DE
Annual,Million euro,Total,Exports of goods and services to EU countries outside the euro area,Electrical equipment,Germany,2020,15307.0,DE
Annual,Million euro,Total,Other manufactured goods,Imports of goods and services from non-EU countries,France,2021,15301.6,FR
Annual,Million euro,Total,Water transport services,Total intermediate consumption /final use,Germany,2020,15300.0,DE
Annual,Million euro,Total,Exports of goods and services to EU countries,Services of head offices; management consulting services,Belgium,2022,15299.9,BE
Annual,Million euro,Total,Basic pharmaceutical products and pharmaceutical preparations,Imports of goods and services from non-EU countries,France,2022,15299.0,FR
Annual,Million euro,Total,Exports of goods and services,Warehousing and support services for transportation,France,2021,15298.86,FR
Annual,Million euro,Total,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",Output,France,2022,15294.6,FR
Annual,Million euro,Total,Constructions and construction works,Output,Slovakia,2020,15294.03,SK
Annual,Million euro,Total,Total use,"Motion picture, video and television programme production services, sound recording and music publishing; programming and broadcasting services",Sweden,2023,15292.54,SE
Annual,Million euro,Total,Total final use,Basic pharmaceutical products and pharmaceutical preparations,Sweden,2022,15282.61,SE
Annual,Million euro,Total,Specialised construction works,"Fabricated metal products, except machinery and equipment",France,2022,15281.03,FR
Annual,Million euro,Total,"Financial services, except insurance and pension funding","Operating surplus and mixed income, net",Germany,2020,15280.0,DE
Annual,Million euro,Total,Services furnished by membership organisations,Total supply at basic prices,Spain,2022,15278.8,ES
Annual,Million euro,Total,Total use,Services furnished by membership organisations,Spain,2022,15278.8,ES
Annual,Million euro,Total,Total final use,"Creative, arts, entertainment, library, archive, museum, other cultural services; gambling and betting services",Italy,2021,15271.72,IT
Annual,Million euro,Total,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",Output,Italy,2022,15262.09,IT
Annual,Million euro,Total,"Motion picture, video and television programme production services, sound recording and music publishing; programming and broadcasting services",Total supply at basic prices,Sweden,2023,15259.87,SE
Annual,Million euro,Total,Machinery and equipment n.e.c.,Imports of goods and services,Sweden,2021,15257.38,SE
Annual,Million euro,Total,Services furnished by membership organisations,Output,Spain,2022,15253.8,ES
Annual,Million euro,Total,Architectural and engineering services; technical testing and analysis services,"Operating surplus and mixed income, net",Italy,2022,15249.78,IT
Annual,Million euro,Total,"Food, beverages and tobacco products","Food, beverages and tobacco products",Belgium,2022,15245.94,BE
Annual,Million euro,Total,"Fabricated metal products, except machinery and equipment",Wages and salaries,Italy,2021,15244.72,IT
Annual,Million euro,Total,Constructions and construction works,Constructions and construction works,Austria,2021,15244.42,AT
